Condition Type,Stage,Condition,Comp,Notes
Arbiter,Any,Arbiter - Chance for Leona Copy,Any,Use Leona 3 as tank for any comp for mid game tempo
Arbiter,Any,Arbiter - Deal damage 10 times for 15 Mana,Zoe Reroll or Tempo,Zoe is very strong with this Arbiter and can perma cast. Build 1 adaptive on Zoe. Even better if you can get Ekko's Patience for Zoe or Ekko's Anomaly item from boon.
Arbiter,Any,Arbiter - Gain Perm HP on 50 mana > every 4 sec > attacks 3 times > enemy dies > other,Reroll or Tempo,Use Leona as mid game tank for tempo
Augment,2,Early Learning,1 cost reroll,Carry must be 1 cost
Augment,2,No Scout No Pivot,1 2 or 3 cost reroll,Play pair of 1 star unit to hold spot on board if needed
Augment,2,Forged in Strength,Mech or 3 cost Reroll,Can also just tempo if lot of loss streakers and you got good 1st artifact + upgrades
Augment,2,Expedition,Mech or any,Radiant is strong for any comp. Take econ augment 3-2 if it was not econ opener or econ god
Augment,2,Spreading Roots,Any,"Play towards emblem, be 7 or 8th place to get a reforger and reforge bad emblems. Ideally winstreak with the augment. Only need to play towards 1 emblem."
Augment,2,Trait Tree,Any,"Play towards emblem, be 7 or 8th place to get a reforger and reforge bad emblems. Ideally winstreak with the augment. Only need to play towards 1 emblem."
Augment,2,Pandoras Bench,1 or 2 cost reroll,Do not take for 3 cost.
Augment,2,Two Tanky,Samira/Ornn Reroll,2 nunu > 2 ornn if you can't ornn 3
Augment,2,URF,Any,"Spat for any comp that needs +1. Ideally its space groove/darkstar/nova with Spat, or if you have reforger than vanguard/rogue/voyager."
Augment,2,Legion of Threes,3 Cost Reroll or Any,Augment gives lot of stats to 3 cost units. But can use to play non 3 cost carries as well if emblem allows for it.
Augment,2,Bonk (Nasus Hero Augment),Nasus/Leona/Teemo Reroll into Vertical Vanguards,Must have some Nasus copies and a makeable item on 2-1. Do not play if people are holding nasus/teemo. 
Augment,2,Pyke Hero Augment,Pyke/Gragas Reroll,Must have some pyke copies and a makeable item on 2-1. Ideally played on Varus portal for dups.
Augment,2,Frontline Foundation,Any,Ideally have talon as he can use all the frontline emblems well. The 2 star unit you get can stall enough for talon to kill backline and win fights
Augment,3,Spreading Roots,Any,"Take if no good direction, see emblem conditions. Only need 1 playable emblem"
Augment,3,Trait Tree,Any,"Take if no good direction, see emblem conditions. Only need 1 playable emblem"
Augment,3,Cosmic Restart,Any,"Take if no good direction/bad board, see emblem conditions. Only need 1 playable emblem. Need to Level up to 7 and roll for a board to save hp"
